cbsa,city_name,date,venturedensity,highlyactiveventuredensity,prosperity11,prosperity19,recovery,medinc16,medinc17,medinc18,medinc19,change_medinc_1619,pct_black,pct_hisp,pct_native,pct_asian,pct_pacific,pct_white
10220,"Ada, OK",2019q1,2.0907111,.3677471876144409,29.71584320068359,32.742668,3.026825,44041,46689,49235,50392,6351,2.4247165,5.3656631,12.483379,.77695215,.093859993,65.39695
10220,"Ada, OK",2020q1,2.0708482,.3382366299629211,29.71584320068359,32.742668,3.026825,44041,46689,49235,50392,6351,2.4247165,5.3656631,12.483379,.77695215,.093859993,65.39695
10220,"Ada, OK",2019q2,2.0804956,.3558294773101807,29.71584320068359,32.742668,3.026825,44041,46689,49235,50392,6351,2.4247165,5.3656631,12.483379,.77695215,.093859993,65.39695
10220,"Ada, OK",2020q2,2.0680106,.3331290185451508,29.71584320068359,32.742668,3.026825,44041,46689,49235,50392,6351,2.4247165,5.3656631,12.483379,.77695215,.093859993,65.39695
10220,"Ada, OK",2019q3,2.0821981,.3405066728591919,29.71584320068359,32.742668,3.026825,44041,46689,49235,50392,6351,2.4247165,5.3656631,12.483379,.77695215,.093859993,65.39695
10220,"Ada, OK",2020q3,2.0600653,.3291564583778381,29.71584320068359,32.742668,3.026825,44041,46689,49235,50392,6351,2.4247165,5.3656631,12.483379,.77695215,.093859993,65.39695
10220,"Ada, OK",2018q4,1.8867985,.3336965128132661,29.71584320068359,32.742668,3.026825,44041,46689,49235,50392,6351,2.4247165,5.3656631,12.483379,.77695215,.093859993,65.39695
10220,"Ada, OK",2019q4,2.0816309,.4920321404933929,29.71584320068359,32.742668,3.026825,44041,46689,49235,50392,6351,2.4247165,5.3656631,12.483379,.77695215,.093859993,65.39695
10220,"Ada, OK",2020q4,2.0254474,.2667302489280701,29.71584320068359,32.742668,3.026825,44041,46689,49235,50392,6351,2.4247165,5.3656631,12.483379,.77695215,.093859993,65.39695
10300,"Adrian, MI",2019q1,4.4503384,.9262413382530212,55.47351737644362,54.187447,-1.2860708,49300,51339,53972,55450,6150,2.2727966,7.9710512,.31103566,.31001922,.020329129,86.666122
